ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf
PSCO,1985,2,9847.73325,38.932,672,14,0.376409250882491
PSCO,1985,3,8111.506559999999,38.932,744,14,0.2800411635838169
PSCO,1985,4,13081.65177,38.932,720,14,0.46668449583033667
PSCO,1985,5,20058.340500000002,38.932,744,14,0.692492938473368
PSCO,1985,6,22188.0949,38.932,720,14,0.7915544660490657
PSCO,1985,7,21866.612369999995,38.932,744,14,0.75492160752577675
PSCO,1985,8,17720.20749,38.932,744,14,0.611771375359187
PSCO,1985,9,14874.221220000001,38.932,720,14,0.5306339408027672
PSCO,1985,10,10814.407399999998,38.932,744,14,0.3733559492757705
PSCO,1985,11,8513.21351,38.932,720,14,0.30370665911789213
PSCO,1985,12,7582.233939999999,38.932,744,14,0.2617685875510539
PSCO,1986,1,7290.684289999999,38.932,744,14,0.25170314500662305
PSCO,1986,2,8742.88117,38.932,672,14,0.33417856355464715
PSCO,1986,3,9927.27299,38.932,744,14,0.34272857437395665
PSCO,1986,4,12828.986980000001,38.932,720,14,0.4576707457161775
PSCO,1986,5,18384.141920000005,38.932,744,14,0.6346930076041051
PSCO,1986,6,23460.48055,38.932,720,14,0.8369464903906526
PSCO,1986,7,19803.789520000002,38.932,744,14,0.6837048357820473
PSCO,1986,8,18372.23169,38.932,744,14,0.6342818195414337
PSCO,1986,9,13897.18401,38.932,720,14,0.4957783945939929
PSCO,1986,10,10188.23703,38.932,744,14,0.35173808116219185
PSCO,1986,11,8895.70966,38.932,720,14,0.31735210894779503
PSCO,1986,12,8113.29864,38.932,744,14,0.2801030332457254
PSCO,1987,1,8487.00439,38.932,744,14,0.29300482803487526
PSCO,1987,2,7391.117090000001,38.932,672,14,0.282510175327066
PSCO,1987,3,9223.21872,38.932,744,14,0.31842184719096656
PSCO,1987,4,12263.359719999999,38.932,720,14,0.43749214156877514
PSCO,1987,5,18664.08394,38.932,744,14,0.6443577090300264
PSCO,1987,6,19663.076839999998,38.932,720,14,0.7014751090219984
PSCO,1987,7,19117.457739999998,38.932,744,14,0.6600099587756539
PSCO,1987,8,13874.79877,38.932,744,14,0.47901271647891164
PSCO,1987,9,10161.68443,38.932,720,14,0.36251542682683197
PSCO,1987,10,7464.35942,38.932,744,14,0.257699094727062
PSCO,1987,11,6699.805019999999,38.932,720,14,0.23901378685913896
PSCO,1987,12,6470.91362,38.932,744,14,0.22340143180444758
PSCO,1988,1,6898.37198,38.932,744,14,0.23815897846148065
PSCO,1988,2,7726.30588,38.932,696,14,0.28513855428445234
PSCO,1988,3,8857.128840000001,38.932,744,14,0.3057829822386759
PSCO,1988,4,12587.008500000004,38.932,720,14,0.4490382269084559
PSCO,1988,5,16496.41362,38.932,744,14,0.5695211895513433
PSCO,1988,6,18820.84236,38.932,720,14,0.6714286148498235
PSCO,1988,7,17754.745170000002,38.932,744,14,0.6129637521418653
PSCO,1988,8,13753.483380000001,38.932,744,14,0.47482443126642654
PSCO,1988,9,10404.079080000001,38.932,720,14,0.3711627923901504
PSCO,1988,10,7624.29543,38.932,744,14,0.26322071589669993
PSCO,1988,11,5962.87669,38.932,720,14,0.21272406196844637
PSCO,1988,12,6311.752399999999,38.932,744,14,0.21790655943807175
PSCO,1989,1,6223.4527100000005,38.932,744,14,0.21485810626247695
PSCO,1989,2,6502.979229999999,38.932,672,14,0.24856294116909575
PSCO,1989,3,8543.64958,38.932,744,14,0.294960443160338
PSCO,1989,4,10184.95404,38.932,720,14,0.3633455640604131
PSCO,1989,5,13799.78349,38.932,744,14,0.47642289347348393
PSCO,1989,6,14126.15261,38.932,720,14,0.5039467893449546
PSCO,1989,7,12324.068390000002,38.932,744,14,0.42547539430482045
PSCO,1989,8,9735.458230000002,38.932,744,14,0.33610637316070263
PSCO,1989,9,7886.72236,38.932,720,14,0.28135675165816176
PSCO,1989,10,6419.9415500000005,38.932,744,14,0.2216416751319367
PSCO,1989,11,6329.24807,38.932,720,14,0.22579426485781476
PSCO,1989,12,5946.64349,38.932,744,14,0.20530156143493647
PSCO,1990,1,6748.71033,38.932,744,14,0.23299206867723044
PSCO,1990,2,7892.28256,38.932,672,14,0.3016661896444594
PSCO,1990,3,7856.48326,38.932,744,14,0.2712367545452838
PSCO,1990,4,10462.20751,38.932,720,14,0.37323650888443666
PSCO,1990,5,11720.41928,38.932,744,14,0.40463504881408885
PSCO,1990,6,13538.67,38.932,720,14,0.48298850131853827
PSCO,1990,7,11794.145240000002,38.932,744,14,0.407180359413546
PSCO,1990,8,9754.02839,38.932,744,14,0.33674748824528894
PSCO,1990,9,7871.54591,38.932,720,14,0.2808153357849013
