ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf,solar_gen_mwh,solar_capacity,solar_cf,solar_num_sites,wind_gen_mwh,wind_capacity,wind_cf,wind_num_sites,datetime_utc,datetime_local
NWMT,2019,4,366379.08185,681.07,720,15,0.7471476293226508,1969114,14000,0.19534861111111113,6,90024396,451100,0.2771755338801448,13,2019-04-01T00:00:00Z,2019-04-01T00:00:00Z
NWMT,2019,5,415689.30612,681.07,744,15,0.8203594133424778,2030366,14000,0.19492761136712747,6,57993354.79999999,451100,0.17279551657477654,13,2019-05-01T00:00:00Z,2019-05-01T00:00:00Z
NWMT,2019,6,430797.11578,681.07,720,15,0.8785137026623139,2442605,14000,0.24232192460317464,6,58075598.00000001,451100,0.17880858518682727,13,2019-06-01T00:00:00Z,2019-06-01T00:00:00Z
NWMT,2019,7,339704.38236999995,681.07,744,15,0.6704037937181704,2392802.0000000005,14000,0.2297236943164363,6,37069425.30000001,451100,0.11045111144085072,13,2019-07-01T00:00:00Z,2019-07-01T00:00:00Z
NWMT,2019,8,255233.45152000006,681.07,744,15,0.5037011091497235,2194955,14000,0.21072916666666663,6,43934304.900000006,451100,0.13090553110318148,13,2019-08-01T00:00:00Z,2019-08-01T00:00:00Z
NWMT,2019,9,226268.64797000002,681.07,720,15,0.4614239521186434,1545499,14000,0.1533233134920635,6,67725112.50000001,451100,0.20851841332298832,13,2019-09-01T00:00:00Z,2019-09-01T00:00:00Z
NWMT,2019,10,232286.64340000003,681.07,744,15,0.4584157727933166,1594955,14000,0.15312548003072196,6,120070878.59999998,451100,0.3577601186347351,13,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z
NWMT,2019,11,243248.46133999998,681.07,720,15,0.4960504576540508,1059465,14000,0.10510565476190475,6,109156822.90000002,451100,0.3360822400182271,13,2019-11-01T00:00:00Z,2019-11-01T00:00:00Z
NWMT,2019,12,253056.16363000002,681.07,744,15,0.4994042494763537,1097919.9999999998,14000,0.10540706605222731,6,114528146.99999996,451100,0.3412451373345441,13,2019-12-01T00:00:00Z,2019-12-01T00:00:00Z
NYIS,1982,1,1749512.5637700004,4618.000000000001,744,161,0.5092021181055199,63784843.21615072,1316800,0.06510655843768243,225,1900135159.7071335,3976600,0.6422434006772731,27,1982-01-01T00:00:00Z,1982-01-01T00:00:00Z
NYIS,1982,2,1774448.86941,4618.000000000001,672,161,0.5717949139914464,76300914.70000002,658400,0.17245295842554828,225,571540249.4,1988300,0.42775553161590546,27,1982-02-01T00:00:00Z,1982-02-01T00:00:00Z
NYIS,1982,3,2121364.3294100007,4618.000000000001,744,161,0.6174309531572343,94230441.70000002,658400,0.19236606848306095,225,682399152.9000001,1988300,0.46130018734597406,27,1982-03-01T00:00:00Z,1982-03-01T00:00:00Z
NYIS,1982,4,2375498.945250001,4618.000000000001,720,161,0.7144443678269815,111952846.3,658400,0.2361635241578912,225,752311639.2000002,1988300,0.5255128887324181,27,1982-04-01T00:00:00Z,1982-04-01T00:00:00Z
NYIS,1982,5,2262094.9787599994,4618.000000000001,744,161,0.6583911304176734,101787196.8,658400,0.20779275271430253,225,293142434.7,1988300,0.19816358134603557,27,1982-05-01T00:00:00Z,1982-05-01T00:00:00Z
NYIS,1982,6,2211396.9817300006,4618.000000000001,720,161,0.6650898000968433,92313428.20000002,658400,0.19473434799851497,225,350206855.4,1988300,0.2446302923491313,27,1982-06-01T00:00:00Z,1982-06-01T00:00:00Z
NYIS,1982,7,1990211.85436,4618.000000000001,744,161,0.5792585390384516,117568558.9,658400,0.24000950271266935,225,362362407.7999999,1988300,0.2449561168048135,27,1982-07-01T00:00:00Z,1982-07-01T00:00:00Z
NYIS,1982,8,1853893.8435999984,4618.000000000001,744,161,0.539582676599747,101432301.9,658400,0.20706825503174853,225,355313508.79999995,1988300,0.24019107802147935,27,1982-08-01T00:00:00Z,1982-08-01T00:00:00Z
NYIS,1982,9,1660029.0442300008,4618.000000000001,720,161,0.4992628615772823,80899772.9,658400,0.17065734461489132,225,324696393.20000005,1988300,0.22681044750680376,27,1982-09-01T00:00:00Z,1982-09-01T00:00:00Z
NYIS,1982,10,1739832.3315599996,4618.000000000001,744,161,0.5063846506307713,80809667.49999999,658400,0.16496832395086164,225,465396363.0999999,1988300,0.3146068229654229,27,1982-10-01T00:00:00Z,1982-10-01T00:00:00Z
NYIS,1982,11,2083092.0952300006,4618.000000000001,720,161,0.6265014000860161,51855251.7,658400,0.10938818790502228,225,656863297.5999999,1988300,0.45883927755145376,27,1982-11-01T00:00:00Z,1982-11-01T00:00:00Z
NYIS,1982,12,2281360.6922600013,4618.000000000001,744,161,0.6639984877606098,44347821.3,658400,0.0905335460108572,225,669467431.0999999,1988300,0.45255837448806696,27,1982-12-01T00:00:00Z,1982-12-01T00:00:00Z
NYIS,1983,1,2183855.889099999,4618.000000000001,744,161,0.6356193532961245,60348961.69582772,1316800,0.06159948042810254,225,1170494669.523553,3976600,0.3956257917701459,27,1983-01-01T00:00:00Z,1983-01-01T00:00:00Z
NYIS,1983,2,2156901.2935199994,4618.000000000001,672,161,0.6950356309936271,70938081.80000001,658400,0.16033205000940234,225,445332210.3,1988300,0.33329816502432086,27,1983-02-01T00:00:00Z,1983-02-01T00:00:00Z
NYIS,1983,3,2601393.354849999,4618.000000000001,744,161,0.7571451807472624,76770913.39999999,658400,0.15672343796953186,225,600049053.6,1988300,0.4056317181317157,27,1983-03-01T00:00:00Z,1983-03-01T00:00:00Z
NYIS,1983,4,2444625.027470002,4618.000000000001,720,161,0.7352344170967474,84047350.4,658400,0.17729713109221007,225,510040550.7999999,1988300,0.3562790594421812,27,1983-04-01T00:00:00Z,1983-04-01T00:00:00Z
NYIS,1983,5,2471293.3514499958,4618.000000000001,744,161,0.7192790924043119,99419142.80000004,658400,0.2029585056311162,225,468190724.3999999,1988300,0.31649580448851583,27,1983-05-01T00:00:00Z,1983-05-01T00:00:00Z
NYIS,1983,6,2321347.8648800007,4618.000000000001,720,161,0.6981581326933257,114196029.2,658400,0.24089549834615903,225,306039447.3,1988300,0.21377799523043137,27,1983-06-01T00:00:00Z,1983-06-01T00:00:00Z
NYIS,1983,7,2182709.1664100015,4618.000000000001,744,161,0.6352855954056593,115440017.2,658400,0.235664206319654,225,389459240.7000001,1988300,0.2632735107232147,27,1983-07-01T00:00:00Z,1983-07-01T00:00:00Z
NYIS,1983,8,2063891.69678,4618.000000000001,744,161,0.6007033303471222,100155818.1,658400,0.2044623862099714,225,268100204.1,1988300,0.18123509364459503,27,1983-08-01T00:00:00Z,1983-08-01T00:00:00Z
NYIS,1983,9,1840222.71638,4618.000000000001,720,161,0.5534570991470573,97253384.5,658400,0.2051551414624679,225,451002590.6,1988300,0.3150392229263413,27,1983-09-01T00:00:00Z,1983-09-01T00:00:00Z
NYIS,1983,10,2128203.092470001,4618.000000000001,744,161,0.6194214005009618,71864045,658400,0.1467063461927906,225,567220975.6999999,1988300,0.3834400163672537,27,1983-10-01T00:00:00Z,1983-10-01T00:00:00Z
NYIS,1983,11,2342432.105980002,4618.000000000001,720,161,0.7044993341213132,51447776.5,658400,0.10852862262893208,225,620014224.5999999,1988300,0.4330990632701302,27,1983-11-01T00:00:00Z,1983-11-01T00:00:00Z
NYIS,1983,12,2600264.407429996,4618.000000000001,744,161,0.756816596415032,53321454.6,658400,0.10885270621839846,225,744321738.4,1988300,0.5031597063250121,27,1983-12-01T00:00:00Z,1983-12-01T00:00:00Z
NYIS,1984,1,2299939.531260001,4618.000000000001,744,161,0.669405927733693,63850480.73862718,1316800,0.0651735560656038,225,1536042821.1843877,3976600,0.5191806277693551,27,1984-01-01T00:00:00Z,1984-01-01T00:00:00Z
NYIS,1984,2,2365838.8805299997,4618.000000000001,696,161,0.736074879572313,65453216.400000006,658400,0.14283410933506516,225,582372183.6,1988300,0.42083269280463126,27,1984-02-01T00:00:00Z,1984-02-01T00:00:00Z
NYIS,1984,3,2568050.05248,4618.000000000001,744,161,0.7474404889702286,98095830.7,658400,0.20025703950763665,225,595801225.5000001,1988300,0.4027601965449493,27,1984-03-01T00:00:00Z,1984-03-01T00:00:00Z
NYIS,1984,4,2470162.422950001,4618.000000000001,720,161,0.7429149291871182,86376899.1,658400,0.1822112931601863,225,426478060.2999999,1988300,0.2979080819320804,27,1984-04-01T00:00:00Z,1984-04-01T00:00:00Z
NYIS,1984,5,2405525.472639999,4618.000000000001,744,161,0.700137107438401,101143633.1,658400,0.2064789541524582,225,519897552.69999987,1988300,0.35144949615195115,27,1984-05-01T00:00:00Z,1984-05-01T00:00:00Z
