"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"16786","Allison Rd. Solar Park 2","Solar","2807","PV_NM_Valencia_Allison Rd. Solar Park 2_35.58-108.75_T[09]","4","2807","PV_NM_Valencia_Allison Rd. Solar Park 2_35.58-108.75_T[09]","4","0","0","0","0","4",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16987","Almasol PV 1","Solar","2305","PV_CA_Cnty_Almasol PV 1_33.75-115.47_F[09]","127.5","2305","PV_CA_Cnty_Almasol PV 1_33.75-115.47_F[09]","127.5","0","0","0","0","127.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16988","Almasol PV 2","Solar","2306","PV_CA_Cnty_Almasol PV 2_33.75-115.47_F[09]","127.6","2306","PV_CA_Cnty_Almasol PV 2_33.75-115.47_F[09]","127.6","0","0","0","0","127.6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16989","Almasol PV 3","Solar","2307","PV_CA_Cnty_Almasol PV 3_33.75-115.47_F[09]","127.3","2307","PV_CA_Cnty_Almasol PV 3_33.75-115.47_F[09]","127.3","0","0","0","0","127.3",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16990","Almasol PV 4","Solar","2308","PV_CA_Cnty_Almasol PV 4_33.75-115.47_F[09]","126.9","2308","PV_CA_Cnty_Almasol PV 4_33.75-115.47_F[09]","126.9","0","0","0","0","126.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1685","Alpaugh50","Solar","2309","PV_CA_Cnty_Alpaugh50_35.90-119.44_T[09]","50","2309","PV_CA_Cnty_Alpaugh50_35.90-119.44_T[09]","50","0","0","0","0","50",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5702","AlpaughNorth","Solar","2310","PV_CA_Cnty_AlpaughNorth_35.90-119.44_T[09]","20","2310","PV_CA_Cnty_AlpaughNorth_35.90-119.44_T[09]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16818","Alpha Solar","Solar","2868","PV_NV_Pershing_Alpha Solar_40.72-118.08_T[09]","80","2868","PV_NV_Pershing_Alpha Solar_40.72-118.08_T[09]","80","0","0","0","0","80",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5703","AlpineSolar","Solar","2311","PV_CA_Cnty_AlpineSolar_34.77-118.50_T[09]","66","2311","PV_CA_Cnty_AlpineSolar_34.77-118.50_T[09]","66","0","0","0","0","66",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13266","Alta Luna Solar","Solar","2776","PV_NM_LuCnty_Alta Luna Solar_32.57-107.49_T[09]","25.2","2776","PV_NM_LuCnty_Alta Luna Solar_32.57-107.49_T[09]","25.2","0","0","0","0","25.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14968","Alta_VII_G_29591_EQ","Wind","2108","WT-CISO-Alta_VII_G_29591_EQ_2028[09]",".0168","2108","WT-CISO-Alta_VII_G_29591_EQ_2028[09]",".0168","0","0","0","0","168",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14969","Alta_X_G_29596_EQ","Wind","2143","WT-CISO-Alta_X_G_29596_EQ_2028[09]",".0137","2143","WT-CISO-Alta_X_G_29596_EQ_2028[09]",".0137","0","0","0","0","136.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14970","Alta_XI_G1_29592_EQ","Wind","2144","WT-CISO-Alta_XI_G1_29592_EQ_2028[09]",".007","2144","WT-CISO-Alta_XI_G1_29592_EQ_2028[09]",".007","0","0","0","0","70",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14971","Alta_XI_G2_29593_EQ","Wind","2145","WT-CISO-Alta_XI_G2_29593_EQ_2028[09]",".002","2145","WT-CISO-Alta_XI_G2_29593_EQ_2028[09]",".002","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"16301","Altamsa4","Wind","2969","WT_CA_NA_Altamsa4_33.93-116.50 [09]",".004","2969","WT_CA_NA_Altamsa4_33.93-116.50 [09]",".004","0","0","0","0","40",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1022","AltaW1","Wind","2146","WT-CISO-AltaW1_2028[09]",".015","2146","WT-CISO-AltaW1_2028[09]",".015","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1023","AltaW2","Wind","2147","WT-CISO-AltaW2_2028[09]",".015","2147","WT-CISO-AltaW2_2028[09]",".015","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1024","AltaW3","Wind","2148","WT-CISO-AltaW3_2028[09]",".015","2148","WT-CISO-AltaW3_2028[09]",".015","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1025","AltaW4","Wind","2149","WT-CISO-AltaW4_2028[09]",".0102","2149","WT-CISO-AltaW4_2028[09]",".0102","0","0","0","0","102",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1026","AltaW5","Wind","2150","WT-CISO-AltaW5_2028[09]",".0168","2150","WT-CISO-AltaW5_2028[09]",".0168","0","0","0","0","168",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1037","AltaW6","Wind","2151","WT-CISO-AltaW6_2028[09]",".015","2151","WT-CISO-AltaW6_2028[09]",".015","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5715","AltaW7_PinyonP1","Wind","2152","WT-CISO-AltaW7_PinyonP1_2028[09]",".0132","2152","WT-CISO-AltaW7_PinyonP1_2028[09]",".0132","0","0","0","0","132",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
